system,metric,mean,ci95_low,ci95_high,count
agentic,retrieval.accepted.recall@5,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
agentic,retrieval.accepted.relevant_count,1.2222222222222223,1.1481481481481481,1.2962962962962963,108
agentic,retrieval.all_rounds.document_recall@1,0.7731481481481481,0.7037037037037037,0.8379629629629629,108
agentic,retrieval.all_rounds.document_recall@3,0.9444444444444444,0.9074074074074074,0.9768518518518519,108
agentic,retrieval.all_rounds.document_recall@5,0.9861111111111112,0.9675925925925926,1.0,108
agentic,retrieval.all_rounds.hitrate@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.all_rounds.hitrate@3,0.9629629629629629,0.9259259259259259,0.9907407407407407,108
agentic,retrieval.all_rounds.hitrate@5,1.0,1.0,1.0,108
agentic,retrieval.all_rounds.matches@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.all_rounds.matches@3,1.1203703703703705,1.0462962962962963,1.2037037037037037,108
agentic,retrieval.all_rounds.matches@5,1.1851851851851851,1.1111111111111112,1.25,108
agentic,retrieval.all_rounds.mrr,0.8976851851851851,0.8527623456790123,0.9401234567901234,108
agentic,retrieval.all_rounds.ndcg@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.all_rounds.ndcg@3,0.8892234638456353,0.8414551385286329,0.932106992845734,108
agentic,retrieval.all_rounds.ndcg@5,0.9085209560545641,0.8724454837915111,0.9427726690750997,108
agentic,retrieval.all_rounds.precision@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.all_rounds.precision@3,0.3734567901234568,0.3487654320987654,0.4012345679012346,108
agentic,retrieval.all_rounds.precision@5,0.23703703703703705,0.22222222222222224,0.25,108
agentic,retrieval.all_rounds.recall@1,0.7407407407407407,0.6620370370370371,0.8148148148148148,108
agentic,retrieval.all_rounds.recall@3,0.9398148148148148,0.8981481481481481,0.9768518518518519,108
agentic,retrieval.all_rounds.recall@5,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
agentic,retrieval.all_rounds.relevant_count,1.2222222222222223,1.1481481481481481,1.2962962962962963,108
agentic,retrieval.final.document_recall@1,0.7824074074074074,0.7128472222222222,0.8472222222222222,108
